Candidate,Office,Seat,Year,Ideology,Lower,Upper,Party,State,Order
Jacky Rosen,U.S. Senate,Sen-I,2018,-2.318,-2.417,-2.222,Democratic,Nevada,100
Jacky Rosen,U.S. Senate,Sen-I,2024,-2.181,-2.263,-2.102,Democratic,Nevada,100
Thomas R. Suozzi,U.S. House,CD-3,2016,-1.407,-1.617,-1.197,Democratic,New York,3
Thomas R. Suozzi,U.S. House,CD-3,2018,-1.457,-1.658,-1.251,Democratic,New York,3
Thomas R. Suozzi,U.S. House,CD-3,2020,-1.662,-1.839,-1.488,Democratic,New York,3
Thomas R. Suozzi,U.S. House,CD-3,2024,-1.503,-1.681,-1.325,Democratic,New York,3
August (O'Neill) Deuser,U.S. House,CD-1,2016,0.4,-0.02,0.81,Republican,Illinois,1
Angela Demaree,U.S. House,CD-5,2016,-1.333,-1.676,-0.986,Democratic,Indiana,5
Dave Giles,U.S. House,CD-9,2016,0.528,0.18,0.853,Republican,Arizona,9
Dave Giles,U.S. House,CD-9,2020,1.112,0.762,1.478,Republican,Arizona,9
Jeff Martin,U.S. House,CD-9,2016,0.198,-0.308,0.694,Republican,Texas,9
Anthony G. Brown,U.S. House,CD-4,2016,-2.193,-2.382,-2,Democratic,Maryland,4
Anthony G. Brown,U.S. House,CD-4,2018,-2.23,-2.403,-2.054,Democratic,Maryland,4
Anthony G. Brown,U.S. House,CD-4,2020,-2.273,-2.436,-2.106,Democratic,Maryland,4
Kim A. Myers,U.S. House,CD-22,2016,-1.236,-1.493,-0.981,Democratic,New York,22
Claudia Tenney,U.S. House,CD-22,2016,1.35,1.107,1.58,Republican,New York,22
Claudia Tenney,U.S. House,CD-22,2018,1.689,1.514,1.864,Republican,New York,22
Claudia Tenney,U.S. House,CD-22,2020,1.758,1.602,1.915,Republican,New York,22
Claudia Tenney,U.S. House,CD-24,2022,1.787,1.656,1.924,Republican,New York,24
Claudia Tenney,U.S. House,CD-24,2024,1.593,1.423,1.755,Republican,New York,24
Mark Alliegro,U.S. House,CD-9,2016,0.917,0.611,1.224,Republican,Massachusetts,9
Leon Threatt,U.S. House,CD-12,2016,-0.18,-0.533,0.172,Republican,North Carolina,12
"Juan M. Hidalgo, Jr.",U.S. House,CD-51,2016,-1.109,-1.411,-0.807,Republican,California,51
"Juan M. Hidalgo, Jr.",U.S. House,CD-51,2018,-0.956,-1.274,-0.608,Republican,California,51
"Juan M. Hidalgo, Jr.",U.S. House,CD-51,2020,0.617,0.111,1.083,Republican,California,51
David Snyder,U.S. House,CD-6,2016,-1.425,-1.778,-1.079,Democratic,Minnesota,6
Jane Dittmar,U.S. House,CD-5,2016,-1.642,-1.929,-1.36,Democratic,Virginia,5
Tom Garrett,U.S. House,CD-5,2016,1.633,1.381,1.869,Republican,Virginia,5
Brian Mast,U.S. House,CD-18,2016,1.599,1.418,1.784,Republican,Florida,18
