,state_ces,district,candidate_ces,type,chamber,Unique_Project_ID,bioguide_id,Ran prior to 2019,Notes,year_ces,obs,id_lt_ces,bonica.rid,year_bonica,candidate_bonica,state_bonica,id_lt_bonica,score,state,candidate,year
129,kansas,3.0,chuck ahner,Rep,,1561.0,,1.0,,2006.0,115.0,0.0,cand50682,2006.0,chuck ahner,kansas,10.0,0.99999994,,,
130,kansas,3.0,dennis moore,Rep,House,697.0,M001140,6.0,,2006.0,116.0,1.0,cand1519,2006.0,dennis moore,kansas,6.0,0.9999999,,,
131,kansas,4.0,garth mcginn,Rep,,1565.0,,1.0,,2006.0,99.0,2.0,cand50691,2006.0,garth j mcginn,kansas,13.0,0.9874202,,,
132,kansas,1.0,jerry moran,Rep,House,959.0,M000934,5.0,,2006.0,107.0,3.0,cand1448,2006.0,jerry moran,kansas,4.0,0.99999994,,,
133,kansas,0.0,jim barnett,Gov,,1574.0,,1.0,,2006.0,455.0,4.0,cand50691,2006.0,garth j mcginn,kansas,13.0,0.8434563,,,
134,kansas,2.0,jim ryun,Rep,House,1575.0,R000566,1.0,,2006.0,134.0,5.0,cand1449,2006.0,james r ryun,kansas,5.0,0.9387101,,,
135,kansas,1.0,john doll,Rep,,1577.0,,1.0,,2006.0,108.0,6.0,cand50664,2006.0,john g doll,kansas,9.0,0.9192646,,,
136,kansas,0.0,kathleen sebelius,Gov,,1579.0,,1.0,,2006.0,454.0,7.0,cand63321,2006.0,kathleen & parkinson sebelius,kansas,22.0,0.9479599,,,
137,kansas,2.0,nancy boyda,Rep,House,1591.0,B001258,2.0,,2006.0,134.0,8.0,cand986,2006.0,nancy e e boyda,kansas,1.0,0.9410937,,,
138,kansas,0.0,pat roberts,Sen,,1559.0,R000307,14.0,,2006.0,453.0,9.0,cand539,2006.0,pat roberts,kansas,0.0,1.0000002,,,
139,kansas,0.0,sam brownback,Sen,,1600.0,B000953,3.0,,2006.0,450.0,10.0,cand1360,2006.0,samuel dale brownback,kansas,2.0,0.939188,,,
140,kansas,4.0,todd tiahrt,Rep,House,1607.0,T000260,5.0,,2006.0,95.0,11.0,cand193547,2006.0,todd tiahrt,kansas,3.0,1.0000001,,,
141,arizona,1.0,ann kirkpatrick,Rep,House,99.0,K000368,9.0,,2008.0,46.0,0.0,cand1029,2008.0,ann kirkpatrick,arizona,7.0,0.99999905,,,
142,arizona,3.0,bob lord,Rep,,101.0,,1.0,,2008.0,58.0,1.0,cand53372,2008.0,robert james lord,arizona,27.0,0.86510724,,,
143,arizona,5.0,david schweikert,Rep,House,110.0,S001183,3.0,,2008.0,55.0,2.0,cand1096,2008.0,david schweikert,arizona,13.0,0.9999979,,,
144,arizona,4.0,don karg,Rep,,114.0,,2.0,,2008.0,10.0,3.0,cand53394,2008.0,laura knaperek,arizona,30.0,0.7904222,,,
145,arizona,4.0,ed pastor,Rep,House,117.0,P000099,6.0,,2008.0,27.0,4.0,cand1191,2008.0,edward l pastor,arizona,8.0,0.9112326,,,
